Batch_ID,Duration_Minutes,Data_Points,Avg_Temperature,Max_Temperature,Avg_Pressure,Max_Compression_Force,Avg_Power_Consumption,Max_Motor_Speed,Avg_Humidity_Percent,Avg_Flow_Rate_LPM,Avg_Vibration_mm_s,Max_Vibration_mm_s,Max_Humidity_Percent,Max_Flow_Rate_LPM,Avg_Motor_Speed_RPM,Avg_Compression_Force_kN,Max_Power_Consumption_kW,Max_Pressure_Bar,Granulation_Time,Binder_Amount,Drying_Temp,Drying_Time,Compression_Force,Machine_Speed,Lubricant_Conc,Moisture_Content,Tablet_Weight,Hardness,Friability,Disintegration_Time,Dissolution_Rate,Content_Uniformity
T001,210,211,35.22240489989868,64.46482591526552,0.989572891378878,14.2194691135473,21.82121582343499,875.033249808928,38.260003059010984,5.5444703339692225,2.9098652902916173,9.794026100629145,62.9236914022922,9.08148252476908,171.7404262073636,12.45931515510556,66.06729503026247,1.320375559991232,15,8.5,60,25,12.5,150,1.0,2.1,199.8,95,0.65,8.2,89.3,98.7
T002,242,243,34.11897383979008,68.19961150031284,0.9903198967097788,18.25277962284972,21.76198229911118,870.711447200188,37.46879950846719,4.813872995865266,2.886003513203927,9.810441483569315,63.74433375433484,9.97518125445068,159.5528563313758,15.070840179104458,55.69533837674879,1.364275522542044,12,7.0,65,20,15.0,120,0.8,2.8,201.3,110,0.45,12.1,87.9,101.2
T003,257,258,35.23219243367587,65.78971468925602,0.9730791243006468,12.13906657465291,23.32840447578528,876.2555273164415,36.9152954722836,5.070793425354098,2.989995323292521,9.60658748050544,67.43471040438519,9.994163118673692,152.67459824380268,10.67825761468624,59.80284121406839,1.416480061940954,18,9.2,55,30,10.8,180,1.2,1.9,198.5,85,0.78,6.8,91.5,97.3
T004,231,232,37.0098295800537,68.03669402634078,0.9695391587972652,10.45742761432978,21.30587702602001,854.0395956374562,37.631641391418746,5.519289330237454,2.7026675812434213,9.715948077107466,60.46808860556018,9.371258589782164,143.79487714756783,8.784666303432614,56.2957512870267,1.321824928516851,20,10.0,58,35,8.5,200,1.5,1.5,203.2,72,0.95,5.5,93.8,95.9
T005,246,247,33.91822794323227,74.7121422408095,0.969525046339903,18.03662896504751,24.98207417215208,906.424204465774,36.42093297269018,4.431026012264248,3.090312169593113,10.23270981092188,61.66413449419625,8.663748441313322,135.6825842239298,16.097790763835448,58.3618202123696,1.325708843881666,10,6.5,70,18,16.2,100,0.6,3.2,202.7,125,0.38,14.8,85.1,103.5
T006,240,241,35.68251414648584,64.72141394581676,0.979221346720696,13.25907281751367,21.35947025401606,845.7751720537685,37.528547356964125,5.091195611865166,2.7817385840326434,9.309200972390542,63.71712468887421,9.422052951919854,152.07722375328245,11.77502295963026,59.45590946364415,1.46356791339347,16,8.8,62,28,11.8,160,1.1,2.3,200.1,92,0.72,7.9,88.7,99.1
T007,230,231,35.07193629218222,70.41719226580292,0.975896323319498,15.41166874041835,21.04383514220266,891.3417789105021,38.42017765071368,5.125941396381971,2.8458974171290543,9.443567464781578,61.8730986539593,9.376043616400702,181.3116145379327,13.437457325012954,55.81905168534993,1.386445755918788,14,7.5,67,22,13.5,140,0.9,2.6,198.9,102,0.58,10.3,86.4,100.8
T008,251,252,36.54146256657889,69.2323690933862,0.967849952337397,9.672543787339748,23.88187577679545,908.8274273385442,36.15298873942345,5.434436540034886,3.054500158149944,9.95915687030524,61.24468837300648,9.835457242682429,139.51434459847297,7.165669959478081,58.68116914316758,1.383742957452348,22,11.0,52,38,7.2,220,1.8,1.2,205.1,65,1.15,4.2,95.7,94.2
T009,237,238,34.43578206449675,65.16423885056419,0.9785472417392336,15.65687338939862,24.86397592638167,992.9650309922648,36.982905274068976,5.191593953551996,3.199024911269332,9.989837476230283,61.03074023936777,9.257556117275724,138.7389451494899,14.175713610622813,70.58799871009025,1.367847148250736,13,7.8,63,24,14.2,130,0.7,2.4,201.8,108,0.52,9.6,88.9,102.1
T010,231,232,35.76574578911724,65.82195561952757,0.9803614139456014,11.35369177597432,20.02348435595015,852.9713498123892,38.52291742382345,5.600272924750128,2.5699327466135653,10.27234418602537,60.36407652553554,9.350189571376845,151.74323961489853,9.800166758912882,57.66620600139672,1.32179364845536,17,9.5,59,32,9.8,170,1.4,1.8,197.6,78,0.88,6.1,92.3,96.8
